id,comment,choice1,choice2,choice3,choice4,story
0,intro,Begin,,,,A Grocery Trip
1,arrive,Walk in.,,,,You arrive at the grocery store.
2,produce section,Browse this aisle.,,,,"Once you grab your cart and walk insider, you find yourself in the produce section.  Fruits and vegetables are found here."
3,fruits,Take an apple.,Grab a bunch of bananas.,Pick an orange from the pile.,Take one of everything.,"Apples line the aisle in neatly stacked piles across from the bananas.  Of all the fruit, the oranges look especially bright and cheerful today."
4,veggies,Get some greens.,Take an onion or two.,Grab a potato.,Add some of each to your cart.,"You slowly maneuver your cart around other customers as you work your way into the vegetable section.  There are many varieties of greens, onions and root vegetables spilled about, and potatoes in a tumble underneath them all."
5,bread,Grab a loaf of bread.,Take a box of cookies.,Pick up your favorite pie.,"Baked goods are delicious!  Select some bread, cookies, and a pie to buy.","You’re now at aisle 1, the bakery.  Sliced breads dominate the entire left wall of this aisle.  The other side has freshly baked goods, including cookies and pie."
6,canned goods,Pick out a few cans of soup.,Grab a nice tomato sauce.,Salsa is definitely needed.,Why not just take a few cans of each?,"The soup aisle is next.  Aisle 2 holds all kinds of canned goods, including sauces and salsa."
7,pasta,Take a box of plain spaghetti.,Grab a bag of rice.,Pick out a box of quinoa.,Take a sampling of each.,"Aisle 3 has grains, mostly pasta and rice, although they do have gluten-free options here as well."
8,baking,Grab some all-purpose flour.,Take a bag of sugar.,They have a sale on brownie mixes today.,"Baking is a staple in your house, and you’re running low on all of these necessities.  Better restock!","Aisle 4 is the baking section, where flour, sugar, and baking mixes live."
9,freezer,Better get a pizza while you’re here.,You ate the last ‘Eggo waffle this morning—better get some more.,"Grab a few different dinners, because you feel a Netflix marathon coming on.","You just cleaned out your freezer, and you have room for all of these!","As you turn into aisle 5, you feel the chill immediately.  Both sides are lined with freezers, filled with frozen pizzas, toaster waffles, and tv dinners."
10,snacks,"Chips or pretzels?  Take a bag of each, because it’s too hard to decide.","Ah, the candy section—bane of your existence.  Grab some chocolate and candy while you’re here, but only your favorites.",So many drink choices!  Pick out a bottle or two.,"You know you’ll host a party, sooner or later.  Why not grab everything now while you’re here?","You sort of regret walking into aisle 6 as soon as you turn into it.  The shelves are filled with enticing chips, pretzels, candy bars, and other snacks, not to mention the entire wall of bottled sodas and juices."
11,non-food,Paper towels are always good to get.,A stack of paper plates and plastic cups will be useful when the next party comes around.,"They have a sale on plastic utensils, of which you might as well take advantage.",You can’t remember seeing any of these in your house before you left.  Better get some of them all.,Perfect!  Aisle 7 is finally one that won’t make you hungry just looking at it.  Here you can replenish your stock of paper goods.
12,dairy,Grab a dozen eggs.,Pick up some cheese while you’re here.,Milk is always good to have.,"Get some of each, and pick up some yogurt too while you’re at it.","The dairy section aisle is at the end of the store.  There are eggs, cheese, and milk here."
13,,,,,,"As you wheel your cart towards the registers, you look at everything you bought.  It’s not a bad haul."
14,,,,,,"You get in line at what looks to be the shortest wait, but a wait nonetheless."
15,checkout line,"That magazine cover actually looks like an interesting read, and not like it’ll melt your brain for looking at it.  Why not get it, just this once?","The magazines don’t interest me, but that candy is melting my knees…",Maybe some gum and tic-tacs.  It’s been awhile since I’ve treated myself with these.,"I have money to burn today, and I shall buy them all!","As you wait, you look at the tiny shelves surrounding you.  The shelves on your right have small candy bars, as well as gum and mints.  To your left are those inane magazine with the celebrities on the cover and those intriguing phrases that you can only read fully through the bars of the magazine rack by subtly tilting your head, hoping no one pays you any mind.  What do you think—should you buy something here? "
16,register,"Money spent, it’s time to go.  Place each bag back into your cart and head out.",,,,"After a long wait (where it seems all the other lines made it through faster than you), it’s finally your turn!  You unload the items from your cart as the cashier rings them up, and you help to bag them.   Whoa—is that the total?!  "
17,leave,,,,,"Bags in cart and your wallet dented, you make your way outside, congratulating yourself on another successful trip to the grocery store."